id,company_name,model_name,product_name,selling_price,mrp,model_number,description
1,"Apple","iPhone 16 Pro","Apple iPhone 16 Pro (256GB) - Natural Titanium",129900,134900,"A3106","Experience the future with the A19 Bionic chip and a pro-grade camera system."
2,"Samsung","Galaxy S26 Ultra","Samsung Galaxy S26 Ultra 5G (512GB) - Phantom Black",145000,154999,"SM-S928B/DS","Unleash your creativity with the integrated S Pen and a revolutionary 200MP camera."
3,"Sony","Bravia X90L","Sony Bravia 55 inch X90L Series 4K Ultra HD Smart TV",98990,119900,"KD-55X90L","Vibrant colors and deep contrast powered by the Cognitive Processor XR with Google TV."
4,"Dell","XPS 15","Dell XPS 15 Laptop (1TB SSD, 32GB RAM)",189990,210500,"XPS9530-7393","A powerhouse for creators featuring a 13th Gen Intel Core i7 and a 3.5K OLED display."
5,"Bose","QuietComfort Ultra","Bose QuietComfort Ultra Wireless Noise Cancelling Headphones",34900,39900,"882832-0100","Immerse yourself in world-class noise cancellation and high-fidelity audio."
6,"Canon","EOS R6 Mark II","Canon EOS R6 Mark II Mirrorless Camera (Body Only)",215490,243995,"5666C002","Capture stunning photos and 4K 60p video with advanced subject tracking autofocus."
7,"LG","OLED C3","LG OLED evo C3 65-inch 4K Smart TV",204990,259990,"OLED65C3PSA","Witness perfect blacks and infinite contrast with self-lit OLED pixels."
8,"Sony","PlayStation 5","Sony PlayStation 5 Console (Disc Version) - Slim",49990,54990,"CFI-2008A01","Experience lightning-fast loading with an ultra-high-speed SSD and immersive haptic feedback."
9,"Apple","MacBook Air M3","Apple MacBook Air 13-inch (M3 Chip, 512GB SSD)",124900,134900,"Z1AE000J3","Supercharged by the M3 chip, it delivers exceptional performance and up to 18 hours of battery life."
10,"Samsung","Galaxy Watch 7","Samsung Galaxy Watch 7 Classic (44mm, LTE) - Silver",42999,47999,"SM-R965F","Monitor your health and track workouts with a timeless rotating bezel."
11,"Nike","Air Max 270","Nike Air Max 270 Men's Running Shoes - Black/White",11895,13995,"AH8050-005","Features the first-ever Max Air unit created specifically for Nike Sportswear."
12,"Adidas","UltraBoost Light","Adidas UltraBoost Light Running Shoes - Core Black",16999,18999,"GZ5159","Experience epic energy with the lightest UltraBoost ever, made with LIGHT BOOST material."
13,"Puma","Classic Suede XXI","Puma Suede Classic XXI Sneakers - Red",5499,6999,"374915-02","A timeless design, this shoe has been a style icon since its debut in 1968."
14,"Levi's","501 Original Fit","Levi's 501 Original Fit Men's Jeans - Medium Stonewash",2799,3999,"00501-0193","The original blue jean since 1873. A classic straight fit with the signature button fly."
15,"LG","Frost-Free Double Door","LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator",34490,48999,"GL-S342SDSY","Smart inverter compressor for energy savings, with Door Cooling+ for uniform cooling."
16,"Samsung","Ecobubble Front Load","Samsung 8 Kg 5 star Ecobubble Front Load Washing Machine",36990,47500,"WW80T504DAW/TL","Enjoy efficient cleaning, even at low temperatures with EcoBubble technology. With AI Control."
